title,link
列1
Going West,https://www.wikiart.org/zh/jie-ke-xun-bo-luo-ke/going-west-1935-1
捧著果籃的男孩,https://www.wikiart.org/zh/qia-la-wa-qiao/peng-zhu-guo-lan-de-nan-hai-1593
Movement in Squares,https://www.wikiart.org/zh/bridget-riley/movement-in-squares-1961
Philosopher in Meditation,https://www.wikiart.org/zh/lun-bo-lang/philosopher-in-meditation-1632
Still Life with Skull,https://www.wikiart.org/zh/bao-luo-sai-shang/still-life-with-skull-1898
大碗岛的星期天下午,https://www.wikiart.org/zh/qiao-zhi-xiu-la/da-wan-dao-de-xing-qi-tian-xia-wu-1886
The Red Dragon and the Woman Clothed with the Sun,https://www.wikiart.org/zh/wei-lian-bu-lai-ke/the-red-dragon-and-the-woman-clothed-with-the-sun-1805
First Communion,https://www.wikiart.org/zh/ba-bo-luo-bi-qia-suo/first-communion-1896
音樂家肖像,https://www.wikiart.org/zh/lie-ao-na-duo-da-fen-qi/yin-le-jia-xiao-xiang-1485
May That Nuclear War Be Cursed!,https://www.wikiart.org/zh/maria-primachenko/may-that-nuclear-war-be-cursed-1978
猶迪割下赫羅弗尼斯的頭顱,https://www.wikiart.org/zh/a-er-tai-mi-xi-ya-zhen-di-lai-si-ji/you-di-ge-xia-he-luo-fu-ni-si-de-tou-lu-1620
三王朝拜,https://www.wikiart.org/zh/sang-de-luo-bo-ti-qie-li/san-bo-shi-lai-zhao-1476
维纳斯的诞生,https://www.wikiart.org/zh/wei-lian-a-dao-fu-bu-ge-luo/wei-na-si-de-dan-sheng-1879
Water Lilies,https://www.wikiart.org/zh/ke-lao-de-mo-nai/water-lilies-40
Self-Portrait with Masks,https://www.wikiart.org/zh/zhan-mu-si-en-suo-er/self-portrait-with-masks-1899
Camille Monet and Her Son Jean in the Garden at Argenteuil,https://www.wikiart.org/zh/pi-ye-ao-gu-si-te-lei-nuo-wa/camille-monet-and-her-son-jean-in-the-garden-at-argenteuil-1874
Women forming a skull,https://www.wikiart.org/zh/sa-er-wa-duo-da-li/women-forming-a-skull
The Return of the Prodigal Son,https://www.wikiart.org/zh/lun-bo-lang/the-return-of-the-prodigal-son-1669
Dynamism of a Dog on a Leash,https://www.wikiart.org/zh/giacomo-balla/dynamism-of-a-dog-on-a-leash-1912
The Angel of the home or the Triumph of Surrealism,https://www.wikiart.org/zh/ma-ke-si-en-si-te/the-angel-of-the-home-or-the-triumph-of-surrealism-1937
